filename,md5,supplemental,supp_md5
indy_20160407_02,63ab3e2e55652fb5709eb024642111cf,,
indy_20160411_01,cee905e1021535626a442748e5612643,,
indy_20160411_02,1f7b4d964f931411789d1aa2ff10f018,,
indy_20160418_01,ae16e46a6f1614103b451c17674ff3eb,,
indy_20160419_01,e5155b431035f32ee37c81915db755fc,,
indy_20160420_01,02546235653357a08430b5dd8d5d1265,,
indy_20160426_01,cfbeaffc1717e2dd11ee8c5ac6f7a297,,
indy_20160622_01,c33d5fff31320d709d23fe445561fb6e,1488441,d3c9a954f83403675913de81ecf7e865
indy_20160624_03,9aa921f0788f6ccd32a1b8808c18eabd,1486148,ccfa540113cb0239bea3499f2ef504c8
indy_20160627_01,de58797d649bdf2bec589c074ee991d2,1484825,087d96c8b3865575b76c2291304dcb0c
indy_20160630_01,197413a5339630ea926cbd22b8b43338,1473704,7e4306390a68680c2abab64c2dcfc440
indy_20160915_01,ef6a95c5a1a8d2126b90f5be0505e398,1467954,fbb6a85425a1b25ee63461f12bf38da0
indy_20160916_01,5587d27f46efa3c09a7f589f2addf3a9,1467051,8da61ee486a13b8455a5027b6ab148f2
indy_20160921_01,788a0fc779bdfffa8388b1108e1d1ce5,1451794,29e8b007c2bcf5c5304e91604bd2d32b
indy_20160927_04,c7f84c83f10494b34ec836ed2b3c9d58,1433943,e3ae1b6d8441c4a4e26bb883009405d7
indy_20160927_06,af9b8bacc1079e5a1edb2bd6eadecfb8,1432819,c9cf222be6004498c5b0e31fb3d27eed
indy_20160930_02,87bd8c05d60200a5e0d86fd8e88748e2,1421881,8f8512319fdc1d46369a26136adfc167
indy_20160930_05,30a8dc9229306d81288e8ae39c9e4942,1421311,acbd48d110e31b2b9e4f1e10f493bbac
indy_20161005_06,5ea300952642e0fc54245144499db9bb,1419774,a1a7d31e22f406aaa042bf91b3817a5f
indy_20161006_02,8e19ada5feee4cdef47a0ec66503076f,1419173,1af9c4c9c74f555053ed85f28b9cff8a
indy_20161007_02,6426f0fe91a9a90f66cbb17c44e20c0d,1413593,2620cc68da0a5a37cd2324b4bf6db13a
indy_20161011_03,90dc409a749b3c0da72b901d2b5d106e,1412636,ee37b2628f3fff59c4c7de4aedf78c4f
indy_20161013_03,8f92ff163bc409134af6ebd161dec826,1412095,5e10d9bc8363fcb6a26fed1fa262045f
indy_20161014_04,d8cf4a2866f56b4c46513ff9fe5ddaf4,1411979,32bf7eef61dad96104e5c665c9e2e19e
indy_20161017_02,7a1bff8e115e7e58eae7cbc63a72ed98,1411883,10399a0957d4c62631e1aa4bacb9b0e5
indy_20161024_03,cc8e198ae6330338af584d9e1204800d,1411475,90ff8acf67e5c90d4acb5a57529d7f41
indy_20161025_04,13589b4c7cfad158e5a1aebd2d71f6e3,1410424,66180a22e67d293a0c8b0431bb251d58
indy_20161026_03,3b5f2c35eecc5175c526869d50f2eada,1321265,47653511260560dcc487fea544e81253
indy_20161027_03,bae4f5b76c50e2e2aed775e6d2482fc3,1321257,e2fcbdbf15794f288e3bf6216e12e3bd
indy_20161206_02,ce33b61b7870e635bea5cab7601d27c3,1303721,5905952f0369312c7c4bc92fd2bcbe25
indy_20161207_02,b984a86fd30417fa8301136102caf2ad,1302867,e7eb802abf64d5df6554da4e984fce88
indy_20161212_02,41f420af06373b456ede45da0536a10f,1302833,167f4ab00539612e2166244b20ef675c
indy_20161220_02,ad57bf06ac505e4d70ae7100c721b8aa,1301046,8c2efaddbc7c1772ffce071066a1cb31
indy_20170123_02,a3ce046e0b67b489d19e34a31232d512,1167965,3ebfb3505005e26a440c92d068c9b0f8
indy_20170124_01,ea1721fefe443420a356b4f93f5bb731,1163026,566139d46a53435c96fb6c65046c94a1
indy_20170127_03,3d77802c59e3e4ebe6778326cfc68c0a,1161225,ad1cf9c9475f2cd91bc8aa3dfe875491
indy_20170131_02,2790b1c869564afaa7772dbf9e42d784,1300956,60b014f88ceb0c4d468692540e826da0
loco_20170210_03,4cae63b58c4cb9c8abd44929216c703b,,
loco_20170213_02,e051a2ddfeb67f31395a8f934b6a04bf,,
loco_20170214_02,3f410a56706563b4ce5584c5b5c83cf2,,
loco_20170215_02,739b70762d838f3a1f358733c426bb02,,
loco_20170216_02,ec480664e7da8c6be0ba8ee709eecf8b,,
loco_20170217_02,bba2889a6ea20e74c8a9054e97a80dd4,,
loco_20170227_04,47dc8d717ac4e46af31a696422d83ed7,,
loco_20170228_02,79d99cd6b8db25ba0420a906350a44ff,,
loco_20170301_05,47342da09f9c950050c9213c3df38ea3,,
loco_20170302_02,ccbba097e02fa300ab5a87b27702f337,,
